id;zh;en
TITLE;我的世界2D版;Flat Minecraft
AUTHOR;薄言EZ;HiBoranez
RELEASE_NOTE;版本说明;Release Note
HELP;帮助;Help
VERSION;版本;version
REQUIRED_VERSION;所需版本;required version
SINGLE_MODE;单人模式;single-player
MUTI_MODE;多人模式;multi-player
LANGUAGE;语言;language
RESOURCE_PACK;资源包;resource pack
QUIT_GAME;退出游戏;quit game
CHANGE_SKIN;更换皮肤;change skin
CLEAR_SKIN;清除皮肤;clear skin
OFFICIAL_OLD;官方旧版;official old
OFFICIAL_NEW;官方新版;official new
CONFIRM;确定;confirm
UNKNOWN;未知;unknown
BLOCKS;方块;blocks
ITEMS;物品;items
CONNECTION_INTERRUPTED;连接中断;connection interrupted
DO_NOT_SHOW_AGAIN;不再显示;do not show again
OPEN_TO_LAN;对局域网开放;open to lan
BACK_TO_MENU;返回菜单;back to menu
CONTINUE_GAME;继续游戏;continue game
YOU_DIED;你死了;you died
RESPAWN;重生;respawn
OPTIONS;设置;options
DISCONNECT;断开连接;disconnect
SAVE_AND_QUIT;保存并退出;save and quit
PLAYER_NAME;玩家名;player name
RENDER_CHUNK;渲染区块;render chunk
FOV_ZOOM;视野缩放;zoom of viewing field
BGM_VOLUME;背景音乐;bgm volume
SOUND_VOLUME;游戏音效;sound volume
SEED_TEXT;种子 (留空随机);seed (empty for random)
WORLD_TYPE;世界类型;world type
DEFAULT;默认;default
FLAT;超平坦;flat
GAMEMODE;游戏模式;gamemode
SURVIVAL;生存;survival
CREATIVE;创造;creative
BLOCK_SELECTION_BOX;方块选中框;block selection box
ALWAYS_SHOW;总是显示;always show
SHOW_WHEN_CHANGING;变动时显示;show when changing
NEVER_SHOW;从不显示;never show
WORLD_NAME;世界名;world name
DEFAULT_WORLD_NAME;新的世界;new world
DEFAULT_SERVER_NAME;新的服务器;new server
SERVER_NAME;服务器名;server name
SERVER_IP;服务器 ip;server ip
SERVER_PORT;服务器端口;server port
OPENING_PORT;正在开放端口...;opening port...
OPEN_SERVER_FAIL_1;服务器在 ip ;server opening failed on 
OPEN_SERVER_FAIL_2; 开放失败，请稍后重试; please try later
OPEN_SERVER_SUCCESS;服务器已开放在 ;server opened on 
JOINED_GAME; 加入了游戏; joined the game
LEFT_GAME; 退出了游戏; left the game
SERVER_CLOSED;服务器已关闭;Server closed
CONNECTION_TIMEOUT;连接超时;Connection timeout
SAME_PLAYER_NAME;相同名称的玩家已在线;Another player with your name is already online
VERSION_CONFLICT;服务器版本与游戏版本冲突;Server version and game version conflict
PLAYER_NAME_EXCEED;玩家名称长度超过限制;Player name length exceeds the limit
PLAYER_NAME_SPACE;玩家名称包含空格;Player name contains spaces
LOADING_SCENE;加载场景中;Loading scene
LOADING_TERRAIN;加载地形中;Loading terrain
CONNECTING_SERVER;连接服务器中;Connecting server
CONNECTION_SUCCESS;连接成功，正在加入服务器;Connection success, joining server
CONNECTION_FAIL;连接失败;Connection failed
COMPLETED;完成！;Completed!
SEARCHING;搜索中;searching
CANNOT_CONNECT;无法连接;cannot connect
SEARCHING_LAN;正在你的本地网络中寻找游戏;searching for servers on your local network
S_SERVER;的服务器;'s server
CLOSE;关闭;close
BACK;返回;back
CANCEL;取消;cancel
SAVE;保存;save
WARNING;警告;Warning
WARNING_1;您输入的世界名已存在，请更换后再试;The world name you entered is existed, please try another one
WARNING_2;玩家名不可为空，请输入后再试;Player name can not be empty, please enter one
WARNING_3;世界名不可为空，请输入后再试;World name can not be empty, please enter one
WARNING_4;服务器名不可为空，请输入后再试;Server name can not be empty, please enter one
WARNING_5;您输入的服务器名已存在，请更换后再试;The server name you entered is existed, please try another one
WARNING_6;服务器 ip不可为空，请输入后再试;Server ip can not be empty, please enter one
WARNING_7;服务器端口不可为空，请输入后再试;Server port can not be empty, please enter one
WARNING_8;该世界版本高于您使用的版本，请换更换世界进行游戏;This world version is higher than the version you are using, please change the world to play the game.
WARNING_9;玩家名最大长度为16，请检查后再试;Maximum length of player name is 16, please check and try again
WARNING_10;玩家名不可包含空格，请检查后再试;Player names must not contain spaces, please check and try again
ERROR;错误;Error
SECONDARY_CONFIRMATION;二次确认;Secondary Confirmation
SECONDARY_CONFIRMATION_1; 将会被移动到回收站，是否确认删除？; will be removed to trash bin, do you confirm?
SECONDARY_CONFIRMATION_2;该世界版本过低，将会进行版本转换，该过程不可逆，如有需要请及时备份，是否继续？;The world version is too low, it will be converted, the process is irreversible, if necessary, please back up in time, whether to continue?
CREATIVE_MODE;创造模式;creative mode
SURVIVAL_MODE;生存模式;survival mode
ENTER_WORLD;进入世界;enter world
CREATE_WORLD;创建世界;create world
EDIT_WORLD;编辑世界;edit world
DELETE_WORLD;删除世界;delete world
JOIN_SERVER;加入服务器;join server
ADD_SERVER;添加服务器;add server
DELETE_SERVER;删除服务器;delete server
REFRESH;刷新;refresh
EDIT_SERVER;编辑服务器;edit server
LAST_MODIFIED;上次修改;last modified
INVALID_IP;无效的 ip 地址;invalid ip address
ONLINE_PLAYERS;在线玩家;online players
POSITON;坐标;position
SELECTED_POSITION;选中坐标;selected position
CHUNK;区块;chunk
FULL_SCREEN;全屏;full screen
AUTO_JUMP;自动跳跃;auto jump
PARTICLE_EFFECT;粒子效果;particle effect
V_SYNC;垂直同步;vertical sync
MINI_MAP;小地图;mini map
ON;开;on
OFF;关;off
MINI_MAP_ZOOM;小地图缩放;mini map zoom
FPS;帧率;fps
SLOGAN_1;多人测试！;Muti-player test!
SLOGAN_2;薄言EZ制作;Made by HiBoranez
SLOGAN_3;Alpha时代！;Alpha era!
SLOGAN_4;生存更新！;Survival update!
/HELP;/help;/help
/TP;/tp <x> <y>;/tp <x> <y>
/GAMEMODE;/gamemode <模式>;/gamemode <mode>
NOT_VALID_MODE_OR_NUM; 不是有效的模式或数字; is not a valid mode or number
GAMEMODE_SET_TO; 的游戏模式被设置为 ; 's gamemode was set to 
OFFICIAL_SERVER_EDIT;官方服务器暂不支持编辑;The official server currently does not support editing
OFFICIAL_SERVER_DELETE;官方服务器暂不支持删除;The official server currently does not support deleting
RANGE_LIMIT;输入的数字过大，请调小一些;the number is too large, please try a less one
SCREENSHOT_SAVED;截屏已保存至 ;screenshot saved to 
COMMAND_LIST;命令列表;command list
USAGE;用法;usage
UNKNOWN_COMMAND;未知的指令;unknown command
TELEPORT_INFO_1;已将 ;teleported 
TELEPORT_INFO_2; 传送至 ; to 
INVENTORY;物品栏;inventory
AIR;空气;air
BEDROCK;基岩;bedrock
BOOK;书;book
BOOKSHELF;书架;bookshelf
BRICK;砖块;brick
COAL_ORE;煤矿石;coal ore
COBBLESTONE;圆石;cobblestone
COBBLESTONE_MOSSY;苔石;mossy cobblestone
CRAFTING_TABLE;工作台;crafting table
DIAMOND_BLOCK;钻石块;diamond block
DIAMOND_ORE;钻石矿石;diamond ore
DIRT;泥土;dirt
EMERALD;绿宝石;emerald
EMERALD_BLOCK;绿宝石块;emerald block
EMERALD_ORE;绿宝石矿石;emerald ore
END_FRAME;末地传送门框架;end portal frame
END_STONE;末地石;end stone
FARM_LAND;耕地;farm land
FURNACE_OFF;熔炉（未点燃）;furnace (off)
FURNACE_ON;熔炉（点燃）;furnace (on)
GLOWSTONE;萤石;glowstone
GLOWSTONE_DUST;萤石粉;glowstone dust
GOLD_BLOCK;金块;gold block
GOLD_ORE;金矿石;gold ore
GRASS_BLOCK;草方块;grass block
GRASS_SNOWED;积雪草方块;snowed grass block
GRAVEL;沙砾;gravel
HAY_BLOCK;干草块;hay bale
IRON_BARS;铁栏杆;iron bars
IRON_BLOCK;铁块;iron block
IRON_ORE;铁矿石;iron ore
LADDER;梯子;ladder
LAPIS_BLOCK;青金石块;lapis block
LAPIS_LAZULI;青金石;lapis lazuli
LAPIS_ORE;青金石矿石;lapis ore
LEAVES;树叶;leaves
LOG_OAK;橡木原木;oak log
MELON;西瓜;melon
MISSING_TEXTURE;缺失材质;missing texture
PLANKS_OAK;橡木木板;oak planks
PUMPKIN_FACE_OFF;南瓜灯（未点燃）;carved pumpkin (off)
PUMPKIN_FACE_ON;南瓜灯（点燃）;carved pumpkin (on)
PUMPKIN;南瓜;pumpkin
REEDS;甘蔗;reeds
SAND;沙子;sand
SANDSTONE;砂岩;sandstone
SANDSTONE_CHISELED;雕刻砂岩;chiseled sandstone
SANDSTONE_SMOOTH;平滑砂岩;smooth sandstone
SAPLING_OAK;橡树树苗;oak sapling
STONE;石头;stone
STONEBRICK;石砖;stone brick
STONEBRICK_CHISELED;雕刻石砖;chiseled stone brick
STONEBRICK_CRACKED;裂纹石砖;cracked stone brick
STONEBRICK_MOSSY;苔石砖;mossy stone brick
TNT;炸药;tnt
TORCH;火把;torch
WHEAT_STAGE_0;小麦第0阶段;wheat stage 0
WHEAT_STAGE_1;小麦第1阶段;wheat stage 1
WHEAT_STAGE_2;小麦第2阶段;wheat stage 2
WHEAT_STAGE_3;小麦第3阶段;wheat stage 3
WHEAT_STAGE_4;小麦第4阶段;wheat stage 4
WHEAT_STAGE_5;小麦第5阶段;wheat stage 5
WHEAT_STAGE_6;小麦第6阶段;wheat stage 6
WHEAT_STAGE_7;小麦第7阶段;wheat stage 7
WOOL_BLACK;黑色羊毛;black wool
WOOL_BLUE;蓝色羊毛;blue wool
WOOL_BROWN;棕色羊毛;brown wool
WOOL_CYAN;青色羊毛;cyan wool
WOOL_GRAY;灰色羊毛;gray wool
WOOL_GREEN;绿色羊毛;green wool
WOOL_LIGHT_BLUE;淡蓝色羊毛;light blue wool
WOOL_LIGHT_GRAY;淡灰色羊毛;light gray wool
WOOL_LIME;黄绿色羊毛;lime wool
WOOL_MAGENTA;品红色羊毛;magenta wool
WOOL_ORANGE;橙色羊毛;orange wool
WOOL_PINK;粉色羊毛;pink wool
WOOL_PURPLE;紫色羊毛;purple wool
WOOL_RED;红色羊毛;red wool
WOOL_WHITE;白色羊毛;white wool
WOOL_YELLOW;黄色羊毛;yellow wool
SEEDS_WHEAT;小麦种子;wheat seeds
BEEF_RAW;生牛肉;raw beef
CHICKEN_RAW;生鸡肉;raw chicken
PORKCHOP_RAW;生猪排;raw pork chop
STICK;木棍;stick
FEATHER;羽毛;feather
COAL;煤炭;coal
IRON_INGOT;铁锭;iron ingot
GOLD_INGOT;金锭;gold ingot
DIAMOND;钻石;diamond
WOOD_SWORD;木剑;wood sword
STONE_SWORD;石剑;stone sword
IRON_SWORD;铁剑;iron sword
GOLD_SWORD;金剑;gold sword
DIAMOND_SWORD;钻石剑;diamond sword
WOOD_PICKAXE;木镐;wood pickaxe
STONE_PICKAXE;石镐;stone pickaxe
IRON_PICKAXE;铁镐;iron pickaxe
GOLD_PICKAXE;金镐;gold pickaxe
DIAMOND_PICKAXE;钻石镐;diamond pickaxe
WOOD_AXE;木斧;wood axe
STONE_AXE;石斧;stone axe
IRON_AXE;铁斧;iron axe
GOLD_AXE;金斧;gold axe
DIAMOND_AXE;钻石斧;diamond axe
WOOD_SHOVEL;木锹;wood shovel
STONE_SHOVEL;石锹;stone shovel
IRON_SHOVEL;铁锹;iron shovel
GOLD_SHOVEL;金锹;gold shovel
DIAMOND_SHOVEL;钻石锹;diamond shovel
WOOD_HOE;木锄;wood hoe
STONE_HOE;石锄;stone hoe
IRON_HOE;铁锄;iron hoe
GOLD_HOE;金锄;gold hoe
DIAMOND_HOE;钻石锄;diamond hoe
WHEAT;小麦;wheat
BREAD;面包;bread
MELON_SLICE;西瓜片;melon slice
APPLE;苹果;apple
FLINT;燧石;flint
