id;zh;en;ja;ko;es;fr;de;ru;hi;vi;th
TITLE;我的世界2D版;Flat Minecraft;フラットマインクラフト;플랫 마인크래프트;Minecraft Plano;Minecraft Plat;Flaches Minecraft;Плоский Minecraft;फ्लैट माइनक्राफ्ट;Minecraft Phẳng;ไมน์คราฟต์แบบแบน
AUTHOR;薄言EZ;HiBoranez;HiBoranez;HiBoranez;HiBoranez;HiBoranez;HiBoranez;HiBoranez;HiBoranez;HiBoranez;HiBoranez
RELEASE_NOTE;版本说明;Release Note;リリースノート;릴리즈 노트;Notas de versión;Notes de version;Versionshinweis;Примечания к выпуску;रिलीज नोट;Ghi chú phát hành;บันทึกประจำรุ่น
START_GAME;开始游戏;start game;ゲーム開始;게임 시작;Iniciar juego;Commencer le jeu;Spiel starten;Начать игру;खेल शुरू करें;Bắt đầu trò chơi;เริ่มเกม
VERSION_SELECT;版本选择;version select;バージョン選択;버전 선택;Selección de versión;Sélection de version;Version auswählen;Выбор версии;संस्करण चयन;Chọn phiên bản;เลือกเวอร์ชัน
HELP;帮助;Help;ヘルプ;도움말;Ayuda;Aide;Hilfe;Помощь;मदद;Trợ giúp;ความช่วยเหลือ
VERSION;版本;version;バージョン;버전;Versión;Version;Version;Версия;संस्करण;Phiên bản;เวอร์ชัน00
REQUIRED_VERSION;所需版本;required version;必要バージョン;필요 버전;versión requerida;version requise;erforderliche Version;требуемая версия;आवश्यक संस्करण;phiên bản yêu cầu;เวอร์ชันที่ต้องการ
SINGLE_MODE;单人模式;single-player;シングルプレイ;싱글 플레이;un jugador;un joueur;Einzelspieler;одиночная игра;सिंगल-प्लेयर;chơi đơn;โหมดผู้เล่นเดี่ยว
MULTI_MODE;多人模式;multi-player;マルチプレイ;멀티 플레이;multijugador;multijoueur;Mehrspieler;мультиплеер;मल्टी-प्लेयर;chơi nhiều người;โหมดผู้เล่นหลายคน
LANGUAGES;语言;language;言語;언어;idioma;langue;Sprache;язык;भाषा;ngôn ngữ;ภาษา
ACHIEVEMENT;成就;achievement;実績;업적;logro;succès;Erfolg;достижение;उपलब्धि;thành tích;ความสำเร็จ
ACHIEVEMENT_TITLE;成就;Achievement;実績;업적;Logro;Succès;Erfolg;Достижение;उपलब्धि;Thành Tựu;ความสำเร็จ
RESOURCE_PACK;资源包;resource pack;リソースパック;리소스 팩;paquete de recursos;pack de ressources;Ressourcenpaket;ресурс-пак;संसाधन पैक;gói tài nguyên;ชุดทรัพยากร
